index,counts
as,2
a,10
term,3
data,18
analytics,10
predominantly,1
refers,1
to,11
an,1
assortment,1
of,10
applications,1
from,2
basic,1
business,4
intelligence,1
bi,2
reporting,1
and,9
online,1
analytical,1
processing,1
olap,1
various,1
forms,1
advanced,2
in,6
that,4
sense,1
its,1
similar,1
nature,1
another,1
umbrella,1
for,2
approaches,1
analyzing,1
with,3
the,11
difference,1
latter,1
is,4
oriented,1
uses,2
while,2
has,2
broader,1
focus,1
expansive,1
view,2
isnt,1
universal,1
though,1
some,1
cases,1
people,1
use,1
specifically,1
mean,1
treating,1
separate,1
category,1
initiatives,1
can,5
help,1
businesses,1
increase,1
revenues,1
improve,1
operational,1
efficiency,1
optimize,1
marketing,1
campaigns,1
customer,1
service,1
efforts,1
respond,1
more,2
quickly,1
emerging,1
market,1
trends,1
gain,1
competitive,1
edge,1
over,1
rivals,1
all,1
ultimate,1
goal,1
boosting,1
performance,1
depending,1
on,2
particular,1
application,1
thats,1
analyzed,1
consist,1
either,1
historical,1
records,1
or,4
new,1
information,1
been,1
processed,1
realtime,1
addition,1
it,2
come,1
mix,1
internal,1
systems,1
external,1
sources,1
at,1
high,1
level,1
methodologies,1
include,1
exploratory,2
analysis,6
eda,2
which,2
aims,1
find,1
patterns,1
relationships,1
confirmatory,1
cda,2
applies,1
statistical,1
techniques,1
determine,1
whether,1
hypotheses,1
about,1
set,1
are,1
true,1
false,1
often,1
compared,2
detective,1
work,2
akin,1
judge,1
jury,1
during,1
court,1
trial,1
distinction,1
first,1
drawn,1
by,1
statistician,1
john,1
w,1
tukey,1
his,1
1977,1
book,1
also,1
be,2
separated,1
into,1
quantitative,1
qualitative,2
former,1
involves,1
numerical,1
quantifiable,1
variables,1
measured,1
statistically,1
approach,1
interpretive,1
focuses,1
understanding,1
content,1
nonnumerical,1
like,1
text,1
images,1
audio,1
video,1
including,1
common,1
phrases,1
themes,1
points,1
